
=== Carrera b228b93e-2a15-4123-baf9-ca0915165c6a, Evento Mitja, Split 10K ===
       athlete_id                                         club  edad  time_split_sec
37219    7F9296C5                                Independiente  26.0        2290.994
74610    7FYFC87C                                Independiente  52.0        2353.657
105001   7Y69AZAZ                                Independiente  31.0        2385.532
75137    7Y94C7C3                           BROOKS ROAD RUNNER  24.0         946.277
12742    7YC54ABZ                                Independiente  31.0        2359.214
93487    7YY39FAD                                    Brked-Off  25.0        2271.790
33617    7Z211ZDA                           Ns-Team Infomaniak  29.0         937.044
103195   7Z24YBB4                                Independiente  29.0        3522.963
112484   7Z7C86DF                      Mountain Running Guides  34.0         934.300
25372    7ZDDDAZZ                                               23.0         948.634
19462    81A3D38D                                 Ironwill.pro  38.0         934.838
54759    81CA9ZA7                             Salford Harriers  40.0         982.294
129729   81D9YZ28                        Ackworth Road Runners  49.0        2339.098
8623     8285Z9Y4                                Independiente  30.0        2352.834
100173   82DZB45B                                Independiente  24.0        3391.371
94564    82F58YY8                                Independiente  33.0        4803.853
10762    834BY5B5                                 UGE Badalona  31.0         973.650
156072   835DZC97       Blackrock Athletic Club Dublin Ireland  64.0        2899.005
33269    84428Y3C                                Independiente  41.0        2549.303
154177   8468F681                                Independiente  35.0        2306.281
37881    84Z3441Z                                  TOP4RUNNING  31.0         933.356
152116   85Y33629                                Independiente  35.0        3569.290
21318    866ZCA61                                Independiente  37.0        2484.058
104498   869277FZ                                 St Albans AC  31.0         984.350
23538    86BBAB2Y                    FUN RUNNERS CLUB ESPORTIU  42.0        3031.496
50681    86C99D89                                               48.0         958.503
41366    87C6C5F4                                Independiente  56.0        2435.830
87923    882Y5CCF                            Forest of Dean AC  25.0         996.833
65383    8861DF2D                                Independiente  32.0        1001.544
45362    8874D4C5                                       Varegg  22.0         967.843
160169   899F1YFZ                        Ackworth Road Runners  62.0        2338.661
58392    89YD6Y97                                Independiente  19.0        2374.287
39262    8A29371F                                Independiente  37.0        2869.421
136533   8AD82DF5                                Independiente  50.0        2308.062
52255    8B224528                                Independiente  34.0        2353.556
124757   8B6AZ57Y                                Independiente  31.0        2565.354
91650    8C5Z5YD8                     IFK Göteborg Orientering  29.0         971.902
132987   8D2ABDF5                             Panteres Grogues  47.0        3044.864
99127    8D8183A8                                      Skinfit  26.0         899.655
114289   8DB78F82                            C.A. KILÓMETRO 42  26.0         978.442
147771   8F23D529                                Independiente  31.0        2282.585
83875    8F3B35Y1                             Club Atlètic tmb  49.0        2360.123
92203    8F555146                                Independiente  28.0        3726.545
98277    8FF229AD                                Strindheim IL  24.0         930.168
105517   8FZ1ZB5D                                Independiente  35.0        2329.081
82879    8FZA534A                           TSV Niederelsungen  28.0         986.378
6122     8Y34F674                                Independiente  45.0        2912.502
133768   8YDADC6F                          Levenshulme Runners  40.0         974.029
71105    8Z4B92ZF                                Independiente  24.0        2335.703
144342   8Z728828                                Independiente  32.0        3271.533
127548   8ZB4C76Y                                Independiente  31.0        2300.528
71859    8ZBC1Y75                                Independiente  45.0        2625.390
73955    8ZC86695                                Independiente  42.0        2368.536
117794   91987C38                                Independiente  24.0        2515.759
50676    91FC83FD                                Independiente  56.0        2639.306
131009   91YBZ9D6                                               31.0        3044.266
3374     92342CD6                                Independiente  29.0        2399.490
134929   929Y3Z9Y                              Snøgg Friidrett  30.0         994.316
27068    92Z78AF7                                Independiente  43.0         983.653
151735   931FDADD                                Independiente  31.0         899.041
96430    932B285D                                Independiente  32.0        2368.013
137535   9483675C                          AS CALUIRE ET CUIRE  37.0         994.685
99537    94D2B721                                     POVS RUN  28.0        3801.389
133822   94Z97D24                                Independiente  39.0        2317.205
6410     959Z283A                                Independiente  51.0        2786.795
140947   95AA8Y34                              Donore Harriers  27.0         956.365
54143    962C8439                                               32.0         898.556
134893   967ZZ5B3                Royal Whitestar Athletic Club  37.0         936.970
47672    96945Y94                               Esclops d"Azun  23.0         925.627
4431     96CB3A7A                                         Puma  32.0         886.156
77612    96Y7AF15                         BROOKS TRAIL RUNNERS  31.0        1002.180
155107   9743C5AZ                             Tromso Lopeklubb  38.0         974.525
38874    979B541D                                Independiente  30.0        2733.663
52302    979B8DBZ          HYGGE RUNNING CONCEPT - BROOKS TEAM  31.0         924.591
145809   97CD58FC                                Independiente  49.0        2564.876
162115   97Z269F5                                Independiente  22.0        2277.678
131803   984D56Y1                                Independiente  38.0        2352.522
122520   988ZF5YD                         BROOKS TRAIL RUNNERS  28.0         961.267
131320   991B7ZB2                                Independiente  43.0        2528.335
44300    993AFCF4                                Independiente  53.0        2965.232
106917   99A614AF                                Independiente  60.0        2621.167
16919    99CA6CDZ                         BROOKS TRAIL RUNNERS  39.0         980.900
41450    9A3FYDB1                                Independiente  28.0        3060.729
105391   9AZ6FC5Z                         The Kenyan Urban Way  45.0        2362.682
138046   9B338Y5A                                  TEAM MISANO  32.0         949.331
136299   9B949Y91                                Independiente  56.0        2285.512
33153    9BB22FY4                                Independiente  45.0        2442.345
100681   9C44D56F                                Independiente  37.0        3855.617
140359   9C4AYBDB                                Independiente  32.0        4334.857
2015     9C59Z6FC                                Independiente  47.0        2400.015
128385   9D45Z29B                                Independiente  51.0        3288.742
150961   9FBD2113                                Independiente  22.0        2362.884
85425    9FF11C59                                Independiente  52.0        2443.271
155330   9FFC82ZZ                                               33.0         967.611
38312    9FZ99816  ASAT KANGOUROU TISSEO/ENFILE TES BASKETS 31  34.0        3801.917
16329    9Y1F7F47                                Independiente  26.0        3746.031
126780   9Y25FD48                            C.A.Les Tortugues  44.0        2412.409
71446    9Y77Y387                                Independiente  25.0        2444.824
2069     9YC62C21                                Independiente  20.0        2272.107
145045   9YZ3283C                                Independiente  47.0         973.490
62795    9YZ884D7                            Manfredonia corre  53.0        2299.951
17951    9Z5ZB922                                               41.0        2280.112
142803   9ZA569YD                                         CNAB  78.0        2347.281
91692    9ZZ1BC7Y                          INCLUYENDO SONRISAS  38.0        2452.602
53581    A15FZB85                                       PCteam  32.0        2893.545
8924     A171D2YA                          New Marske Harriers  71.0        2279.828
160679   A2247F2B                                Independiente  29.0         922.299
43554    A2266YY8                                Independiente  34.0        2409.608
38755    A291BFB4                                Independiente  36.0        2652.687
137722   A3154536                    SUGAR ATHLETICS BARCELONA  39.0         960.157
116003   A3516756                                Independiente  58.0        2409.809
46112    A3741CC7                                Independiente  21.0        2275.712
13830    A4DDDDDB                                Independiente  36.0         945.761
29598    A4Y1C799                                Independiente  37.0        2347.032
110864   A55F7DZB                     CA ALBACETE - DIPUTACIÓN  33.0         939.024
103478   A5761B4A                           North East Project  27.0         968.033
8192     A59CF61A                                Independiente  56.0        3469.367
102837   A62F3F98                                  BROOKS TEAM  31.0         984.861
139355   A637F8B9                                Independiente  41.0        2951.990
75953    A6Y89218                                Independiente  27.0         932.218
27507    A7221AD8          Team RRUNNING CASTRES - CA SOREZIEN  51.0        2763.517
8293     A7A7158B                      CUATRECASAS SPORTS CLUB  34.0        2651.105
126199   A7AZD72Z                                Independiente  37.0        2527.284
61884    A7Y61C6D                                Independiente  27.0        2291.777
27835    A7Y81ACY                 Entente Athlétique de l"Arve  35.0         918.087
78105    A8F47585                                 SV Brackwede  31.0         999.025
112950   A958Z9F1                     Tunbridge Wells Harriers  34.0         964.792
55536    A9CFZA4F                                               20.0         899.341
12571    A9FY2Y51                                Independiente  27.0        4105.620
131769   A9Y41A1B                           Nuñez Run Talavera  29.0         870.919
364      A9YA7YYA                                               28.0        3311.966
49364    AAYY3Y28                                               35.0        2601.256
47326    AB24Z18F                                Independiente  38.0        2347.878
46601    AB34B2ZF                                Independiente  24.0        3460.562
2009     AB83ZBC2                                Independiente  32.0        2402.927
64750    ABA2Z3CZ                                     Athle632  23.0         995.314
154627   ABD4994Z                                Independiente  52.0        2334.330
29509    ABZA9ZY8                                        BUNGE  31.0        2319.968
128743   AC68Y46Y                                Independiente  53.0        2396.038
145297   ACA965F1                                         Eamh  35.0         976.078
91297    ACZYYD94                                Independiente  30.0        2477.653
65647    AD44Z9CA                                Independiente  27.0        2988.527
45379    AD47A83D                                Independiente  60.0        3550.472
150794   ADA35F18                                               29.0        2797.252
97021    ADADAB52                                Independiente  23.0        3438.578
137270   ADC22379                                Independiente  32.0        2336.903
