athlete_id,race_id,split,fold,valor_real,valor_imputado,abs_error,gender,age,age_group,rel_error,rel_error_pct
FDBD1598,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,1814.6850000000013,2810.8003,996.1152929687487,0.0,21.374401095140314,20-30,-0.5489191195275371,54.891911952753716
34YY6384,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,2,1645.1470000000008,2549.1975,904.0505097656242,0.0,28.48186173853525,20-30,-0.5495256710896339,54.95256710896339
649B1971,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,2,1514.1000000000004,2512.6875,998.5874999999996,0.0,25.56331279945243,20-30,-0.6595254602341152,65.95254602341151
93BZF2FB,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,3,58.04100000000108,1897.8352,1839.794205078124,0.0,46.74880219028063,40-50,-31.69818186075202,3169.818186075202
26Z72ZB6,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,1,696.7070000000003,1080.5536,383.84658886718717,0.0,28.06570841889117,20-30,-0.5509440673285081,55.09440673285081
28CB7A72,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,1,572.6949999999997,1118.2096,545.5145947265628,1.0,53.46748802190281,50-60,-0.9525394734964049,95.25394734964048
6199F97A,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,1,749.0750000000007,1346.6016,597.5265624999993,0.0,37.87542778918549,30-40,-0.7976858948734277,79.76858948734277
DYBC9A76,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,1,671.0550000000003,1110.8065,439.7515185546872,0.0,19.003422313483917,<20,-0.655313674586097,65.53136745860971
DYD91C53,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,1,1520.7849999999999,573.5976,947.1874047851561,0.0,22.198494182067076,20-30,0.6228279501456999,62.28279501456999
13F64122,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,686.4570000000003,1555.5881,869.1311347656247,0.0,36.20807665982204,30-40,-1.2661115459519134,126.61115459519135
69D83387,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,1522.652,755.5347,767.1172709960938,1.0,51.290896646132786,50-60,0.5038034104262106,50.380341042621055
784173Y2,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,654.2870000000003,1522.4755,868.1884638671872,0.0,44.69267624914442,40-50,-1.3269229902783701,132.692299027837
7YYYYD86,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,784.4290000000001,1589.6879,805.2588662109374,0.0,60.02464065708419,60+,-1.0265541753101723,102.65541753101724
