================================================================================
=== Estadísticas descriptivas: Conjunto completo ===
================================================================================

                               count                           mean                            min                            25%                            50%                            75%                            max       std
PCA2                      18603.0000                        -0.0134                        -3.7727                        -0.5479                        -0.1365                         0.4024                        20.5579    0.8634
PCA3                      18603.0000                         0.0253                        -9.9117                        -0.1437                         0.0512                         0.2457                        26.4222    0.5313
tiempo_total              18603.0000                     14410.2805                      9862.7280                     12735.4155                     14106.8060                     15733.2830                     23356.9930 2161.7824
pace                      18603.0000                         1.4953                         0.9033                         1.3409                         1.4956                         1.6566                         2.1391    0.2118
delta_inicio_fin          18603.0000                        -0.2662                        -4.2865                        -0.4890                        -0.2421                        -0.0138                         1.7392    0.3811
concavidad                18603.0000                         0.2214                       -10.7359                         0.1010                         0.2171                         0.3259                         2.9687    0.2346
TSNE1                     18603.0000                         7.4854                       -75.3341                       -28.4005                        11.2851                        41.8378                        89.2345   41.7104
TSNE2                     18603.0000                        -5.0558                       -80.5507                       -34.2453                        -5.3388                        23.7854                        83.6267   37.4560


================================================================================
=== Estadísticas descriptivas: Grupo seleccionado ===
================================================================================

                              count                           mean                            min                            25%                            50%                            75%                            max      std
5K                        2050.0000                      1195.8764                       882.0910                      1153.3102                      1218.5450                      1254.6485                      1359.2540  77.8378
10K                       2050.0000                      1189.3545                       522.6230                      1148.2652                      1207.4910                      1252.7877                      1315.6880  77.6890
15K                       2050.0000                      1199.8686                       890.8500                      1163.8330                      1218.2925                      1259.7337                      1339.6660  75.8327
20K                       2050.0000                      1189.9138                       879.7970                      1146.7453                      1207.7990                      1251.1333                      1344.1070  76.3620
Media                     2050.0000                       262.5861                       193.4920                       252.8590                       265.8230                       275.5170                       381.1440  17.3743
25K                       2050.0000                       933.5948                       690.9990                       903.4432                       947.8250                       977.2088                      1520.7710  59.7055
30K                       2050.0000                      1212.1765                       882.8720                      1172.2975                      1230.9100                      1269.4400                      1716.6300  77.2846
35K                       2050.0000                      1223.9893                       855.3800                      1175.9650                      1244.3400                      1277.9950                      1590.8600  81.9397
40K                       2050.0000                      1255.0909                       873.2520                      1199.8347                      1268.7750                      1309.6023                      1952.4920  96.6420
Meta                      2050.0000                       544.6987                       387.9230                       517.8692                       546.1265                       571.7102                       929.0730  45.3654
