
=== Evento(s): Marato ===
                                  athlete_id  split  netTime_sec       anomaly_type
383544                              28CB7A72    30K    14630.844  Outlier de tiempo
383545                              28CB7A72    35K    17212.821  Outlier de tiempo
385215                              5764AAZ9    15K     7021.644  Outlier de tiempo
385216                              5764AAZ9    20K     9782.307  Outlier de tiempo
385217                              5764AAZ9  Media    10425.389  Outlier de tiempo
385218                              5764AAZ9    25K    12650.016  Outlier de tiempo
385219                              5764AAZ9    30K    15613.790  Outlier de tiempo
385220                              5764AAZ9    35K    18489.001  Outlier de tiempo
385221                              5764AAZ9    40K    21419.509  Outlier de tiempo
385222                              5764AAZ9   Meta    22716.316  Outlier de tiempo
386991                              L33554D3    25K    11857.171  Outlier de tiempo
386992                              L33554D3    30K    14615.441  Outlier de tiempo
386993                              L33554D3    35K    17354.581  Outlier de tiempo
386994                              L33554D3    40K    20145.284  Outlier de tiempo
388167                              467FBDB3   Meta    22263.257  Outlier de tiempo
389659                              FCY2284D    35K    17329.020  Outlier de tiempo
389772                              22A497C7   Meta    24001.889  Outlier de tiempo
389811                              17A39Z26     5K     2339.095  Outlier de tiempo
389812                              17A39Z26    10K     4776.994  Outlier de tiempo
389813                              17A39Z26    15K     7388.895  Outlier de tiempo
389814                              17A39Z26    20K    10089.688  Outlier de tiempo
389815                              17A39Z26  Media    10695.413  Outlier de tiempo
389816                              17A39Z26    25K    12801.180  Outlier de tiempo
393210                              5A5Z6225    15K     7203.109  Outlier de tiempo
393211                              5A5Z6225    20K     9898.356  Outlier de tiempo
393212                              5A5Z6225  Media    10540.932  Outlier de tiempo
393213                              5A5Z6225    25K    12843.256  Outlier de tiempo
393214                              5A5Z6225    30K    16012.316  Outlier de tiempo
393215                              5A5Z6225    35K    17791.006  Outlier de tiempo
393216                              5A5Z6225    40K    20780.914  Outlier de tiempo
393217                              5A5Z6225   Meta    22030.825  Outlier de tiempo
393451                              633B5C51     5K     2332.924  Outlier de tiempo
393452                              633B5C51    10K     4648.668  Outlier de tiempo
393453                              633B5C51    15K     7052.203  Outlier de tiempo
393454                              633B5C51    20K     9632.196  Outlier de tiempo
393455                              633B5C51  Media    10210.029  Outlier de tiempo
393456                              633B5C51    25K    12345.779  Outlier de tiempo
393457                              633B5C51    30K    15069.283  Outlier de tiempo
393458                              633B5C51    35K    17732.761  Outlier de tiempo
393459                              633B5C51    40K    20337.148  Outlier de tiempo
393460                              633B5C51   Meta    21436.334  Outlier de tiempo
393920                              CZF3491D    25K    11842.067  Outlier de tiempo
393921                              CZF3491D    30K    14617.344  Outlier de tiempo
393922                              CZF3491D    35K    17342.967  Outlier de tiempo
393923                              CZF3491D    40K    20164.354  Outlier de tiempo
396972  7d3ab6f2-5b0f-4a8c-8be9-6b5a98d3b062     5K     6217.385  Outlier de tiempo
398423                              ZB6YYC1D    15K     7062.722  Outlier de tiempo
398424                              ZB6YYC1D    20K     9724.634  Outlier de tiempo
398425                              ZB6YYC1D  Media    10315.700  Outlier de tiempo
398426                              ZB6YYC1D    25K    12475.147  Outlier de tiempo
398427                              ZB6YYC1D    30K    15350.567  Outlier de tiempo
398428                              ZB6YYC1D    40K    20660.251  Outlier de tiempo
398429                              ZB6YYC1D   Meta    21758.035  Outlier de tiempo
398754                              3483A844    10K     4796.884  Outlier de tiempo
398880                              4F56A199    30K    14569.560  Outlier de tiempo
398881                              4F56A199    35K    17331.770  Outlier de tiempo
398882                              4F56A199    40K    20163.744  Outlier de tiempo
398883                              4F56A199   Meta    21391.142  Outlier de tiempo
399692                              6D7262BA    25K    11852.730  Outlier de tiempo
399693                              6D7262BA    30K    14673.790  Outlier de tiempo
399694                              6D7262BA    35K    17564.650  Outlier de tiempo
399695                              6D7262BA    40K    20548.380  Outlier de tiempo
399696                              6D7262BA   Meta    21856.197  Outlier de tiempo
402092                              8FC3Y94Y     5K      549.140  Outlier de tiempo
402093                              8FC3Y94Y    10K     1335.438  Outlier de tiempo
402094                              8FC3Y94Y    15K     2165.361  Outlier de tiempo
402095                              8FC3Y94Y    25K     3999.060  Outlier de tiempo
402096                              8FC3Y94Y    30K     4699.740  Outlier de tiempo
402097                              8FC3Y94Y    35K     5621.110  Outlier de tiempo
402289                              4B79AY8Y    20K     9448.146  Outlier de tiempo
402290                              4B79AY8Y  Media    10085.963  Outlier de tiempo
402291                              4B79AY8Y    25K    12449.402  Outlier de tiempo
402292                              4B79AY8Y    30K    15733.890  Outlier de tiempo
402293                              4B79AY8Y    35K    18778.340  Outlier de tiempo
402294                              4B79AY8Y    40K    21864.329  Outlier de tiempo
402295                              4B79AY8Y   Meta    23289.358  Outlier de tiempo
403108                              A4A7Z85B    40K    20197.232  Outlier de tiempo
